key,Source,english,japanese,arabic,bulgarian,schinese,tchinese,czech,danish,dutch,finnish,french,german,greek,hungarian,italian,koreana,norwegian,polish,portuguese,brazilian,romanian,russian,spanish,latam,swedish,thai,turkish,ukrainian,vietnamese
mission,Mission,Mission,ミッション,مهمة,Мисия,使命,使命,Mise,Mission,Missie,Tehtävä,Mission,Mission,Αποστολή,Küldetés,Missione,사명,Oppdrag,Misja,Missão,Missão,Misiune,Миссия,Misión,Misión,Uppdrag,ภารกิจ,Misyon,Місія,Nhiệm vụ
stone,Stone,Stone,石,حجر,Камък,石头,結石,Kámen,Sten,Steen,Kivi,Pierre,Stein,Πέτρα,Kő,Calcolo,결석,Stein,Kamień,Pedra,Pedra,Piatră,Камень,Piedra,Piedra,Sten,หิน,Taş,Камінь,Cục đá
stone tool,Stone Tool,Stone Tool,石器,أداة الحجر,Каменен инструмент,石工工具,石工工具,Kamenný nástroj,Stenværktøj,Stenen gereedschap,Kivityökalu,Outil de pierre,Steinwerkzeug,Πέτρινο εργαλείο,Kőszerszám,Strumento di pietra,석재 도구,Steinverktøy,Narzędzie kamienne,Ferramenta de pedra,Ferramenta de pedra,Instrument de piatră,Каменный инструмент,Herramienta de piedra,Herramienta de piedra,Stenverktyg,เครื่องมือหิน,Taş alet,Кам'яний інструмент,Công cụ đá
stone ax,Stone Ax,Stone Ax,石斧,الفأس الحجر,Каменна брадва,石器斧,石器斧,Kamenná sekera,Stenøks,Stenen bijl,Kivikirves,Hache de pierre,Steinaxt,Πέτρινο τσεκούρι,Kőszexő,Ascia di pietra,석재 도끼,Steinøks,Kamienny topór,Machado de pedra,Machado de pedra,Topor de piatră,Каменный топор,Hachas de piedra,Hachas de piedra,Stenen,ขวานหิน,Taş baltası,Кам'яна сокира,Rìu đá
wood,Wood,Wood,木材,خشب,дърво,木头,木頭,Dřevo,Træ,Hout,Puu,Bois,Holz,Ξύλο,Faipari,Legna,목재,Tre,Drewno,Madeira,Madeira,Lemn,Древесина,Madera,Madera,Trä,ไม้,Odun,Деревина,Gỗ
iron ore,Iron Ore,Iron Ore,鉄鉱石,خام الحديد,Желязна руда,铁矿,鐵礦,Železná Ruda,Jernmalm,Ijzererts,Rautamalmi,Minerai de fer,Eisenerz,Σιδηρομετάλλευμα,Vasérc,Minerale di ferro,철광석,Jernmalm,Ruda żelaza,Minério de ferro,Minério de ferro,Minereu de fier,Железная руда,Mineral de hierro,Mineral de hierro,Järnmalm,แร่เหล็ก,Demir cevheri,Залізна руда,Quặng sắt
tiny iron ore,Tiny Iron Ore,Tiny Iron Ore,小さな鉄鉱石,خام الحديد الصغير,Малка желязна руда,小铁矿石,小鐵礦石,Drobná železná ruda,Lille jernmalm,Klein ijzererts,Pieni rautamalmi,Minuscule minerai de fer,Winziges Eisenerz,Μικροσκοπικό σιδηρομετάλλευμα,Apró vasérc,Minuscolo minerale di ferro,작은 철광석,Liten jernmalm,Mała ruda żelaza,Minúsculo minério de ferro,Minúsculo minério de ferro,Minere de fier minuscul,Крошечная железная руда,Pequeño mineral de hierro,Pequeño mineral de hierro,Liten järnmalm,แร่เหล็กเล็ก ๆ,Küçük demir cevheri,Крихітна залізна руда,Quặng sắt nhỏ
iron ore powder,Iron Ore Powder,Iron Ore Powder,鉄鉱石粉,مسحوق خام الحديد,Желязна руда на прах,铁矿石粉,鐵礦石粉,Prášek z železné rudy,Jernmalmpulver,IJzerertspoeder,Rautamalmijauhe,Poudre de minerai de fer,Eisenerzpulver,Σκόνη σιδηρομεταλλεύματος,Vasércpor,Polvere di minerale di ferro,철광석 가루,Jernmalmpulver,Proszek ruda żelaza,Pó de minério de ferro,Pó de minério de ferro,Pulbere de minereu de fier,Железная руда порошок,Polvo de mineral de hierro,Polvo de mineral de hierro,Järnmalmspulver,ผงแร่เหล็ก,Demir cevheri tozu,Порошок залізної руди,Bột quặng sắt
coal,Coal,Coal,石炭,فحم,Въглища,煤炭,煤炭,Uhlí,Kul,Steenkool,Hiilen,Charbon,Kohle,Κάρβουνο,Szén,Carbone,석탄,Kull,Węgiel,Carvão,Carvão,Cărbune,Уголь,Carbón,Carbón,Kol,ถ่านหิน,Kömür,Вугілля,Than
coal powder,Coal Powder,Coal Powder,石炭粉末,مسحوق الفحم,Въглищен прах,煤粉,煤粉,Uhelný prášek,Kulpulver,Kolenpoeder,Hiilijauhe,Poudre de charbon,Kohlepulver,Σκόνη άνθρακα,Szénpor,Polvere di carbone,석탄 가루,Kullpulver,Węgiel proszkowy,Pó de carvão,Pó de carvão,Pulbere de cărbune,Угольный порошок,Polvo de carbón,Polvo de carbón,Kolpulver,ผงถ่านหิน,Kömür tozu,Вугільний порошок,Bột than
